iter;tot_exp;exp_01;exp_07;exp_10
227;29107903518.5585;9301251681.09136;2700908120.83965;1368622489.74741
228;28798535696.44;9288696433.08532;2744897423.75499;1361014821.38814
229;28757591694.5146;9273422626.91077;2716644008.97015;1354292892.60576
230;29056011105.0644;9254981344.48103;2710523129.59547;1356678395.15961
231;28853850745.9606;9308183351.57699;2715237661.10122;1346958797.84343
232;28888904867.6247;9293258448.92538;2745495990.167;1352064790.39921
233;28938109163.6654;9287250836.6625;2729424836.12886;1355221257.01246
234;29076380534.9207;9294046074.5088;2747169069.29041;1370462642.42103
235;28782796464.2262;9292281448.67425;2708497746.7143;1354567215.805
236;28963491923.0549;9268429634.54012;2738148223.22909;1364374920.46373
237;28740349435.8113;9305194249.69988;2736692712.76277;1340196700.32211
238;28989724320.0333;9292931423.7474;2730415367.46666;1361625387.6441
239;29021059111.2315;9297338398.46909;2743941768.37487;1333873948.39201
240;28886950990.5658;9315000220.40246;2737163658.32694;1356795676.2603
241;29021758475.8167;9275063876.20837;2732288194.79127;1349760015.25307
242;28997862114.8649;9300037758.29841;2724191178.7108;1342895716.32718
243;28971048988.7352;9259006822.97344;2735830665.9563;1352668960.90896
244;29241996892.9245;9309453382.35693;2726753843.46721;1341166684.90881
245;28976984472.5949;9303593478.00731;2714936030.66874;1341094341.79555
246;28861922600.3919;9258702816.88427;2684466871.99229;1354648913.92204
247;29043593168.2044;9321518562.43189;2748767133.24099;1347795247.38888
248;28979220677.933;9269848740.99406;2716990226.69472;1357195383.68878
249;28986780095.7711;9288547450.91574;2685060019.89446;1358597729.10311
250;29087659004.4206;9290244209.34971;2700710529.03788;1375027979.81874
251;28891835541.1294;9277905221.1722;2723880926.11085;1360096801.76571
252;28884728163.7304;9305489814.51986;2712109743.0655;1372536483.85561
253;28961415730.1988;9273757864.15742;2707679111.18883;1343331598.85089
254;28716614706.2661;9298346813.76974;2698295601.64065;1380475513.24285
255;28880352077.1684;9264240055.41685;2719630264.14278;1351075727.84765
256;29045767157.3896;9302788708.55682;2736106463.90972;1372579464.5311
257;29127627648.556;9299039545.09782;2728518457.99551;1378370537.2272
258;28929876369.6622;9310660616.15105;2704749972.99662;1368954181.32013
259;28920411216.2608;9308953765.87869;2711062803.17015;1355826595.89372
260;28934351462.0312;9300432153.51363;2759409002.28025;1371095939.32732
261;28834746243.2186;9284360809.01693;2716939829.5641;1345476276.53943
262;28833260257.0622;9320429634.82717;2737808878.76404;1361449141.7045
263;29322519679.5199;9270280484.60617;2750337984.36542;1366003146.2802
264;28930638519.23;9309367960.25246;2687478944.51586;1356765830.14577
